,title,price,year,link,brand,age
0,wave armor drive on pwc and boat ports,2200,,https://charlottesville.craigslist.org/boa/d/greenville-wave-armor-drive-on-pwc-and/7783072304.html,missing,
1,john boat 3 trolling motors and battery,800,,https://charlottesville.craigslist.org/boa/d/louisa-john-boat-trolling-motors-and/7789738927.html,missing,
2,jon boat and vee bottom boat,200,,https://charlottesville.craigslist.org/boa/d/afton-jon-boat-and-vee-bottom-boat/7789458297.html,missing,
3,14ft jon boat crestliner,2850,,https://charlottesville.craigslist.org/boa/d/dyke-14ft-jon-boat-crestliner/7788741592.html,missing,
4,triton tr-175 fishing boat,6500,,https://charlottesville.craigslist.org/boa/d/palmyra-triton-tr-175-fishing-boat/7788483767.html,missing,
5,outboard motor for sale!!!,1600,,https://charlottesville.craigslist.org/boa/d/scottsville-outboard-motor-for-sale/7787775340.html,missing,
6,rinker boat for sale,2500,,https://charlottesville.craigslist.org/boa/d/palmyra-rinker-boat-for-sale/7787737184.html,missing,
7,19ft rinker,0,,https://charlottesville.craigslist.org/boa/d/louisa-19ft-rinker/7778481819.html,missing,
8,"2-person intex inflatable kayak, well made, fit any car trunks",180,,https://charlottesville.craigslist.org/boa/d/charlottesville-person-intex-inflatable/7786901830.html,missing,
9,11ft coleman kayak,135,,https://charlottesville.craigslist.org/boa/d/charlottesville-11ft-coleman-kayak/7786450174.html,missing,
10,kayak single seat,170,,https://charlottesville.craigslist.org/boa/d/crozet-kayak-single-seat/7786228133.html,missing,
11,10â€™ kayak sun dolphin,160,,https://charlottesville.craigslist.org/boa/d/crozet-10-kayak-sun-dolphin/7786226332.html,missing,
12,2018 alumacraft competitor 205 tiller,35000,2018.0,https://charlottesville.craigslist.org/boa/d/palmyra-2018-alumacraft-competitor-205/7785951124.html,missing,7.0
13,2021tidewater 232 lxf,79999,2021.0,https://charlottesville.craigslist.org/bod/d/reedville-2021tidewater-232-lxf/7785727613.html,missing,4.0
14,2010 carolina skiff 218 dlv,18995,2010.0,https://charlottesville.craigslist.org/bod/d/gloucester-2010-carolina-skiff-218-dlv/7785718051.html,missing,15.0
15,buddy davis 28,134999,,https://charlottesville.craigslist.org/bod/d/mathews-buddy-davis-28/7785437405.html,missing,
16,kayak- dagger zydeco  9.0,175,,https://charlottesville.craigslist.org/boa/d/charlottesville-kayak-dagger-zydeco-90/7785060990.html,missing,
17,jon boat,800,,https://charlottesville.craigslist.org/boa/d/crozet-jon-boat/7784154151.html,missing,
18,lincoln kayak,999,,https://charlottesville.craigslist.org/boa/d/charlottesville-lincoln-kayak/7783476457.html,missing,
19,kayak,40,,https://charlottesville.craigslist.org/boa/d/troy-kayak/7783168286.html,missing,
20,sea eagle inflatable kayak for sale,230,,https://charlottesville.craigslist.org/boa/d/charlottesville-sea-eagle-inflatable/7782921039.html,missing,
21,baja h2x,25000,,https://charlottesville.craigslist.org/boa/d/virginia-beach-baja-h2x/7779285601.html,missing,
22,nucanoe frontier 12 fishing kayak,1300,,https://charlottesville.craigslist.org/boa/d/troy-nucanoe-frontier-12-fishing-kayak/7782427859.html,missing,
23,old town canoe w/ seats and paddles,600,,https://charlottesville.craigslist.org/boa/d/crozet-old-town-canoe-seats-and-paddles/7781701276.html,missing,
24,2010 trophy 2102 wa,18999,2010.0,https://charlottesville.craigslist.org/bod/d/mathews-2010-trophy-2102-wa/7781638759.html,trophy,15.0
25,bass hunter 120 pontoon 2 person boat,4300,,https://charlottesville.craigslist.org/boa/d/quinque-bass-hunter-120-pontoon-person/7781428637.html,missing,
26,grady white 22,24999,,https://charlottesville.craigslist.org/bod/d/grimstead-grady-white-22/7781322315.html,missing,
27,grady white 282 repowered 2017 low hour yamaha 250s,84999,2017.0,https://charlottesville.craigslist.org/bod/d/deltaville-grady-white-282-repowered/7781321922.html,yamaha,8.0
28,carolina skiff 198,11999,,https://charlottesville.craigslist.org/bod/d/reedville-carolina-skiff-198/7781321714.html,missing,
29,16 52 express hd 90hp yamaha jet,10500,,https://charlottesville.craigslist.org/boa/d/scottsville-express-hd-90hp-yamaha-jet/7779960223.html,yamaha,
30,90 hp yamaha outboard jet,10000,,https://charlottesville.craigslist.org/boa/d/scottsville-90-hp-yamaha-outboard-jet/7778851753.html,yamaha,
31,2011 crestliner super hawk 1600 75hp honda,14000,2011.0,https://charlottesville.craigslist.org/boa/d/orange-2011-crestliner-super-hawk-hp/7778344435.html,honda,14.0
32,coan river marina,1,,https://charlottesville.craigslist.org/boa/d/lottsburg-coan-river-marina/7771455360.html,missing,
33,2004 mariah sx 22,9500,2004.0,https://charlottesville.craigslist.org/boa/d/montpelier-station-2004-mariah-sx-22/7777277997.html,mariah,21.0
